날짜,시가,고가,저가,현재가,거래량
20130916,10369,11885,10271,11885,4575598
20130917,12228,13548,12032,12668,6159591
20130923,12521,12570,11836,11934,2631256
20130924,12130,12521,11983,12521,1228019
20130925,12521,14380,12228,13890,2763384
20130926,14037,15945,13842,15945,3878585
20130927,16238,17705,16238,17216,5619390
20130930,16825,18048,16434,16629,2242083
20131001,16629,16923,15602,15749,1815307
20131002,15896,16532,15651,15896,1339887
20131004,15651,15700,14233,14233,2202158
20131007,14184,14869,14135,14526,1290085
20131008,14771,14820,14233,14771,646137
20131010,14624,15064,14428,14869,549425
20131011,15162,15260,14477,14624,548260
20131014,14575,14820,13988,14037,462443
20131015,14037,14526,13988,14086,320101
20131016,14086,14428,13548,13939,376889
20131017,13939,14037,13010,13352,658065
20131018,13255,14184,13010,14086,461992
20131021,14184,14526,13890,14331,367019
20131022,14282,14624,14135,14477,246068
20131023,14575,15504,14575,14771,766983
20131024,14966,15113,14526,15064,451995
20131025,15162,15456,14869,15162,672859
20131028,15651,16336,15260,15407,1050283
20131029,15553,15749,15358,15700,324644
20131030,15700,15798,15358,15456,300512
20131031,14771,15015,13744,13744,2319653
20131101,14184,14233,13597,13939,866960
20131104,13939,14184,13695,13842,281197
20131105,13890,13939,13304,13499,384202
20131106,13352,13548,12863,13010,648412
20131107,13108,13206,12619,12717,379177
20131108,12717,12717,12325,12472,294473
20131111,12521,12814,11934,11983,273900
20131112,12130,12619,12032,12130,454984
20131113,12228,12766,12081,12325,675591
20131114,12276,12521,12130,12423,179946
20131115,12423,12814,12179,12325,368425
20131118,12325,12374,11836,11934,361013
20131119,11983,12423,11787,11934,601859
20131120,12032,13206,12032,13059,1006606
20131121,12961,13842,12912,13597,1144417
20131122,13842,14037,13646,13842,470106
20131125,13842,14184,13842,14086,281101
20131126,13939,14282,13499,14233,442714
20131127,14233,14380,13744,13939,298612
20131128,13842,14135,13744,13744,261049
20131129,13695,14135,13695,14086,203177
20131202,15260,16140,15015,15994,2266832
20131203,15994,16140,15651,16140,794144
20131204,15847,16629,15847,16140,731132
20131205,16140,16140,15504,15553,451782
20131206,15651,16972,15456,16434,1173836
20131209,16532,16629,16140,16189,387122
20131210,16238,16385,15456,15798,667961
20131211,15798,16580,15651,16336,548772
20131212,16140,16385,15798,15847,387789
20131213,15651,15798,13499,14477,3911234
20131216,14380,14624,13890,14037,709529
20131217,14233,14331,13646,13890,329425
20131218,13744,15847,13744,15260,1469586
20131219,15700,16091,15064,15407,610839
20131220,15309,15504,14722,15211,564927
20131223,15113,15749,15015,15553,502790
20131224,15553,16287,15211,15456,471186
20131226,15651,15700,14918,14918,294941
20131227,15015,15847,14966,15651,614852
20131230,15798,16483,15651,16042,474902
20140102,16091,16483,15700,16091,523482
20140103,16091,16532,15896,16434,476125
20140106,16287,16532,16189,16434,381224
20140107,16287,17070,16189,16874,649659
20140108,16825,19368,16825,18879,3043869
20140109,19173,20640,19026,19955,2282428
20140110,19955,20933,19271,20738,1433786
20140113,20542,21276,19760,20151,827859
20140114,19955,21080,19857,20249,754586
20140115,20347,21031,20102,21031,566657
20140116,21031,21667,20640,20836,474246
20140117,20836,20836,20200,20493,423241
20140120,20298,20787,20102,20689,274057
20140121,20836,20885,20053,20053,357364
20140122,19857,21765,19466,21667,976241
20140123,21716,22401,21520,21667,650930
20140124,21374,23037,21374,22450,1001089
20140127,22010,22890,22010,22010,534900
20140128,22010,22352,21178,21863,512848
20140129,22058,22988,21912,22743,553818
20140203,22499,23281,22499,22988,426990
20140204,22694,23037,22058,22058,432430
20140205,22450,22450,21423,21961,682820
20140206,22352,23281,21325,21471,1113563
20140207,21814,22156,21471,21716,456724
20140210,21863,22010,21374,21716,654916
20140211,21520,21618,20151,20200,1494853
20140212,20444,20689,20053,20444,559645
20140213,20395,20933,20347,20347,362059
20140214,20493,20933,20347,20444,409712
20140217,20542,21912,20542,21912,803383
20140218,22058,22058,21325,21716,476228
20140219,21618,22645,21227,22401,629732
20140220,22303,22645,21912,21912,330973
20140221,22205,22694,21863,22205,248868
20140224,22010,22058,21178,21276,332622
20140225,21423,21520,20493,20885,352089
20140226,21080,21129,20542,20689,233055
20140227,20738,20738,20004,20200,367829
20140228,20395,20738,19955,20249,330736
20140303,20004,20151,19564,19613,439244
20140304,19564,20591,19466,20249,572434
20140305,20542,20689,20151,20493,344274
20140306,20493,20982,20298,20689,517061
20140307,20836,20933,20493,20836,292196
20140310,20933,20933,20004,20200,280135
20140311,20200,20493,19662,20102,276428
20140312,20200,21667,20053,21423,1169010
20140313,21569,22694,21276,22499,1041248
20140314,22156,22743,21961,22205,759407
20140317,22205,23379,21765,23037,862996
20140318,22988,23624,22694,23037,780381
20140319,23232,23917,22890,23721,636710
20140320,23575,24113,23183,23770,563904
20140321,23819,24895,23819,24553,602214
20140324,24455,24651,23037,23086,841240
20140325,23624,23770,22694,22743,621790
20140326,23086,23721,22645,23232,518563
20140327,22988,23428,22548,23037,284666
20140328,23183,23624,22890,23330,330735
20140331,23428,23526,22499,22988,327010
20140401,22939,23134,22548,22939,281172
20140402,23379,24895,23330,24700,1116196
20140403,24700,25091,24259,24553,480786
20140404,24553,25629,24406,24944,649283
20140407,24748,25238,23917,24357,426030
20140408,24064,25042,24064,24455,333805
20140409,24455,24846,24162,24455,244943
20140410,24700,24748,23575,23721,523523
20140411,23477,23770,23037,23575,521017
20140414,23575,24553,23477,24308,316617
20140415,24455,24553,24113,24162,190040
20140416,24210,24651,24015,24455,194607
20140417,24700,24797,24259,24504,147963
20140418,24357,24602,24113,24504,209777
20140421,24504,24602,23966,24406,176158
20140422,24455,24455,24064,24162,103317
20140423,24015,24162,23183,23183,468150
20140424,23281,23379,22743,23134,202132
20140425,23086,23281,22107,22499,394354
20140428,22205,22499,21569,21863,412509
20140429,21961,22303,21618,21667,354386
20140430,21814,22010,21618,21618,169360
20140502,21667,22205,21667,21863,172662
20140507,21863,22156,21814,21961,186253
20140508,22156,22156,21178,21520,242000
20140509,21667,21716,20982,21618,242564
20140512,21716,21716,21276,21325,127659
20140513,21276,21471,21031,21325,179860
20140514,21325,21520,21080,21080,194795
20140515,20933,21912,20787,21667,302041
20140516,21618,21863,21520,21618,135438
20140519,21520,21667,21080,21080,131610
20140520,21618,23575,21520,23232,963377
20140521,23330,23868,23037,23379,400507
20140522,23672,23770,22939,23428,331662
20140523,23477,23917,23379,23624,304677
20140526,23575,24210,23379,23624,212152
20140527,23868,23966,23086,23672,236049
20140528,23770,24602,23575,24406,439535
20140529,24406,24797,23966,23966,229333
20140530,24113,24944,23672,24602,380277
20140602,25238,26509,25042,26118,1042764
20140603,26265,26901,25629,26509,607658
20140605,26509,27536,26314,26705,527195
20140609,26998,27096,25873,26607,352003
20140610,26558,26558,25727,26118,434374
20140611,26069,26362,25727,26167,431554
20140612,25971,26314,25580,26265,288247
20140613,26020,26852,25727,26265,311669
20140616,26265,26362,25042,25335,664980
20140617,25335,25580,25091,25238,226388
20140618,25238,25629,24602,24748,405956
20140619,24748,25384,24602,25238,327531
20140620,25091,25286,24700,24895,179231
20140623,24748,24797,23428,23966,689155
20140624,23917,24406,23575,24259,331370
20140625,24064,24210,23134,23134,459429
20140626,23086,23526,22890,23281,290664
20140627,23183,24015,22939,23917,312404
20140630,24113,24113,23575,23624,228381
20140701,23624,23672,23134,23428,232346
20140702,23672,24700,23672,24504,487486
20140703,24944,25971,24602,25678,858934
20140704,25873,26216,25384,25824,431495
20140707,25776,26314,25286,26265,342078
20140708,26069,26509,25678,26265,291978
20140709,26118,26118,25335,25531,278094
20140710,25531,25776,25189,25286,167813
20140711,25091,25727,24846,25727,238410
20140714,25922,25922,25384,25531,136457
20140715,25678,25922,25091,25678,221891
20140716,25922,26949,25482,25727,597580
20140717,25922,26118,24553,25238,512622
20140718,25091,25678,24895,25433,206474
20140721,25824,26118,25384,25776,208454
20140722,25824,26852,25824,26705,562435
20140723,26754,27096,26411,26803,351214
20140724,27047,27096,25971,26167,264443
20140725,26216,26216,25531,26020,239574
20140728,26069,26216,25531,26020,171104
20140729,26118,26558,25727,26167,256573
20140730,26314,26705,23086,24846,764934
20140731,24846,25824,24406,25629,346910
20140801,25238,25971,25091,25384,154651
20140804,25433,25776,25042,25580,127391
20140805,25776,25776,24553,25189,237020
20140806,25189,25189,24113,24895,286341
20140807,24895,24944,24210,24259,236197
20140808,24259,24553,23330,23770,263526
20140811,23966,24406,23183,23330,291334
20140812,23379,23575,22939,23134,221285
20140813,23281,23819,22792,22988,423896
20140814,23232,23526,22645,23232,367418
20140818,23379,23868,23330,23624,273830
20140819,23721,23770,23281,23721,192607
20140820,23721,24700,23379,24504,418297
20140821,24504,24602,23819,24504,312730
20140822,24455,25091,24162,24553,365590
20140825,24602,24944,24210,24944,246011
20140826,24846,25042,24259,24406,253345
20140827,24651,24797,24113,24308,209957
20140828,24553,25629,24259,25286,514686
20140829,25286,25824,25140,25433,215270
20140901,25727,25776,24993,25189,216731
20140902,25238,25286,24748,25238,226271
20140903,25238,26265,25140,26216,413282
20140904,26167,26803,25922,26411,471847
20140905,26460,26607,26020,26265,213054
20140911,26216,26558,25580,26020,247093
20140912,25824,25971,25286,25433,321898
20140915,25238,25580,25140,25580,175094
20140916,25629,25727,24944,24993,215629
20140917,25140,26460,24993,25971,431993
20140918,26020,26167,25433,25776,245627
20140919,25824,28221,25629,28221,1144857
20140922,28515,28759,27439,28025,700246
20140923,27781,27830,27145,27732,479722
20140924,25335,26901,25189,26509,2270383
20140925,26656,26705,25433,25629,709014
20140926,25286,25384,23575,24406,908666
20140929,24455,25580,24455,24944,693384
20140930,24944,25580,24797,25335,266335
20141001,25238,25678,24944,24944,236457
20141002,24651,24895,24357,24553,242454
20141006,24602,24846,23624,23721,320639
20141007,23526,24210,23477,23770,423324
20141008,23624,23770,22890,23770,751485
20141010,23721,23721,22792,22890,583401
20141013,22743,23183,22548,23134,485233
20141014,22841,23624,22743,23086,422088
20141015,23477,24846,23428,24651,745647
20141016,24357,24895,24015,24748,299252
20141017,24846,24846,24015,24308,240650
20141020,24162,24553,24064,24259,184480
20141021,24259,25042,24162,24700,310167
20141022,24602,24944,24455,24651,190690
20141023,24553,25286,24553,24944,257461
20141024,25042,25580,24846,25140,291323
20141027,25335,25727,24846,25531,338042
20141028,25678,26118,25335,25678,252829
20141029,25873,26069,24993,25482,320272
20141030,25286,25776,24651,25433,237898
20141031,25189,26069,25091,25922,154991
20141103,26118,26118,25335,25678,244208
20141104,25629,25776,24944,24944,220579
20141105,25091,25873,24700,24895,479825
20141106,24993,25678,24700,25140,475213
20141107,25189,27390,25140,27194,906429
20141110,27390,27683,26607,26803,597111
20141111,26998,30715,26949,30031,1904815
20141112,30080,30618,29004,29591,931381
20141113,29591,30177,29248,29835,430942
20141114,29982,30226,28319,28759,532973
20141117,28612,29297,27194,27683,613477
20141118,26998,28319,26754,28172,629044
20141119,28221,28759,27585,28466,353194
20141120,27585,28515,27536,28270,726622
20141121,28172,28270,26509,27292,1021628
20141124,27292,27292,26020,26216,717928
20141125,26558,26656,25629,25629,1006458
20141126,26118,27439,26020,26852,1277046
20141127,27194,27439,26460,26509,536825
20141128,27243,28808,26949,28612,1789319
20141201,29346,31792,29297,30569,3059423
20141202,29933,31107,29444,30764,1800336
20141203,30862,31547,29982,30080,1527616
20141204,29786,30960,29786,30031,614941
20141205,30324,31009,29835,29933,748004
20141208,30520,31107,30080,30715,955979
20141209,31058,32134,30569,31889,701917
20141210,31743,32085,30177,31792,861037
20141211,32134,32623,30422,30422,745406
20141212,30520,30813,29101,29835,698068
20141215,29150,30177,28857,29297,681461
20141216,29248,30715,28710,30422,677381
20141217,30177,30226,27977,28759,890302
20141218,28466,28710,27292,28466,689537
20141219,29053,29835,28417,28661,438114
20141222,28319,30031,27585,29248,3599788
20141223,29982,30031,28808,29053,407464
20141224,28955,29639,28123,29346,441472
20141226,29101,29737,29004,29639,325325
20141229,29591,29884,29248,29346,226573
20141230,29150,30764,29150,30031,518764
20150102,30129,31449,29639,30569,602692
20150105,30862,31498,30177,30911,414006
20150106,31058,32330,30373,30471,944828
20150107,29297,30813,28808,30667,1311420
20150108,30324,30715,29737,30667,380625
20150109,30471,31400,30471,31009,307530
20150112,31009,31156,29297,29933,454028
20150113,29933,30911,29101,29297,512514
20150114,29835,30324,29688,30129,210105
20150115,30031,30520,29688,30129,251676
20150116,30129,31302,29639,30960,542403
20150119,31205,31205,29786,30129,254410
20150120,30129,31449,29884,30911,421412
20150121,31205,31987,31058,31449,298166
20150122,31449,31449,30275,30471,350894
20150123,30813,31009,30031,30471,229074
20150126,30471,31253,30129,31205,234167
20150127,31302,31351,30569,30569,177869
20150128,30618,30618,29933,30471,223819
20150129,30764,32623,30373,31792,871946
20150130,32085,32281,31156,31938,328554
20150202,30862,31449,30177,31009,366974
20150203,30813,30911,30226,30764,329341
20150204,30324,31205,30080,30911,367346
20150205,31400,32281,30715,31449,587708
20150206,31400,31889,30862,31547,246378
20150209,31302,31449,30520,30764,269173
20150210,30422,31107,29786,30324,302904
20150211,30520,30667,29933,30373,203278
20150212,30373,30618,29639,29737,165576
20150213,29835,30129,28857,29737,267280
20150216,29297,29346,28319,28759,523362
20150217,28417,29248,28123,29150,302769
20150223,29444,29639,29199,29493,220656
20150224,29297,29933,28808,29444,380079
20150225,29688,29786,29346,29591,152877
20150226,29639,29982,29199,29688,418468
20150227,29737,30715,29688,30618,351602
20150302,30715,31449,30080,30177,484702
20150303,30226,30764,29150,29444,529004
20150304,29444,29688,29053,29150,378061
20150305,29248,29395,28661,29199,413740
20150306,29346,29346,28612,28661,338274
20150309,29053,29101,28417,28759,250872
20150310,29053,29053,27536,27683,502465
20150311,27585,28319,27536,28025,372926
20150312,28025,29493,27781,29444,317978
20150313,29884,29884,28759,29346,239134
20150316,29346,30422,28857,30275,471039
20150317,30862,31596,30764,31205,725253
20150318,31253,31743,30911,31156,314447
20150319,31253,31449,30422,31253,254400
20150320,30911,31302,30764,31205,164105
20150323,31058,31351,30520,31302,221831
20150324,30813,32232,30813,32085,416342
20150325,31987,32281,31645,32085,216071
20150326,31743,31840,30618,30911,346075
20150327,30813,31107,30324,31107,224494
20150330,31302,34237,31302,33846,1034810
20150331,34237,35313,33846,34971,945721
20150401,34628,35655,34433,35558,380496
20150402,35117,35655,34384,34873,373299
20150403,35166,36585,34873,36047,484937
20150406,36193,36438,34726,36389,466300
20150407,36193,36193,34628,35460,455077
20150408,35215,36096,34824,35998,405338
20150409,36389,36927,34922,35362,380498
20150410,34726,35509,34482,35313,368799
20150413,35313,35313,34139,34726,381689
20150414,34579,35068,33699,33895,364286
20150415,33895,34286,33601,34237,281727
20150416,33944,33944,32770,33112,525672
20150417,33112,33846,33063,33650,406337
20150420,33992,35313,33895,35215,580486
20150421,35558,35558,34482,35411,390063
20150422,35998,36780,34873,36291,824489
20150423,37074,37367,35411,36340,697650
20150424,36340,36487,33161,34530,999611
20150427,34188,34237,33406,33699,570534
20150428,33699,34433,33454,33601,264657
20150429,33454,33797,32965,33601,326468
20150430,33161,33699,31449,32232,596318
20150504,32085,32476,31253,31400,321344
20150506,31009,31009,28808,29982,605818
20150507,29737,31253,29542,31253,347028
20150508,31596,32574,31547,31694,352747
20150511,31743,32281,31351,31938,200043
20150512,31596,31840,29933,30422,535727
20150513,30520,30813,29835,29884,333037
20150514,29933,31253,29933,30129,325691
20150515,31058,31889,30373,30715,541675
20150518,31009,31009,29786,29884,304549
20150519,30226,30764,29933,30569,281389
20150520,30667,32623,30667,31987,673972
20150521,31987,31987,30764,31449,319572
20150522,31302,31302,30080,30422,485170
20150526,30520,30618,29591,30080,275131
20150527,30324,30471,29786,30373,315601
20150528,30080,30422,29786,30080,177976
20150529,29639,30275,29346,30226,347836
20150601,29542,29542,28515,29004,644611
20150602,29004,29004,27390,27683,721475
20150603,26803,27585,26460,27536,643361
20150604,27194,28074,27194,27732,289242
20150605,27390,27977,27096,27977,219069
20150608,27879,28710,27439,28466,380713
20150609,28123,28563,27879,28172,351528
20150610,28172,28270,27145,27879,421625
20150611,27683,27830,27096,27390,362204
20150612,27439,27732,26362,26607,510202
20150615,26509,26509,24259,24357,1183240
20150616,24210,25140,24162,25140,628712
20150617,25286,25286,24455,25140,540623
20150618,25482,25824,24797,25384,452825
20150619,25286,26216,24846,26020,408820
20150622,26460,27194,26265,26998,461549
20150623,27390,27390,26411,26754,351457
20150624,26803,26803,26020,26509,371398
20150625,26411,26705,25922,26411,236070
20150626,26607,26949,25873,26460,315656
20150629,25824,26558,25433,25922,283258
20150630,25727,27047,25433,26803,386861
20150701,27390,28563,26901,28466,501368
20150702,28612,28808,28172,28221,424946
20150703,28221,28710,27243,28172,266220
20150706,27487,28368,27487,27879,312884
20150707,28808,29835,28515,29737,1246543
20150708,29591,30080,29053,29933,487165
20150709,29493,29493,27781,29346,631273
20150710,29053,29395,28172,29101,333545
20150713,29395,29786,28466,29737,251999
20150714,29737,29982,28906,28906,322685
20150715,29248,29688,28417,28955,279394
20150716,29053,29591,28612,29346,256866
20150717,29493,29737,28417,28466,228718
20150720,28612,29297,28515,29053,233350
20150721,29101,29542,28319,28857,278579
20150722,28759,29101,28368,28808,202573
20150723,29199,29639,29101,29395,308324
20150724,29395,29493,28710,28955,179577
20150727,28808,29101,28563,29101,204555
20150728,29053,29053,28368,28759,237326
20150729,28808,28955,28466,28563,190957
20150730,28563,28759,27390,27683,228038
20150731,27243,27830,27243,27683,237977
20150803,27732,28612,27243,27830,146550
20150804,27977,30177,27928,29933,535759
20150805,30080,30080,29150,29346,269790
20150806,29542,29688,29150,29542,202937
20150807,29444,29688,29004,29493,172329
20150810,29688,30422,29542,30422,250034
20150811,30520,30569,29346,29346,218740
20150812,29737,29786,27439,28906,414096
20150813,28368,29297,28025,29150,321201
20150817,29150,29150,27928,28025,294232
20150818,27341,27390,24357,25776,1608733
20150819,25042,25140,20836,22499,2128465
20150820,21814,23624,21814,22548,638336
20150821,21129,22694,20982,22401,847056
20150824,21863,22450,20542,21080,863792
20150825,21471,22645,20787,22058,542963
20150826,22058,23281,21961,23037,489267
20150827,23575,23575,22596,22596,298864
20150828,22694,23966,22645,23868,372185
20150831,23721,24162,23281,24015,270742
20150901,23477,24162,22596,23232,426127
20150902,22401,23428,22254,23281,346056
20150903,23428,24259,22792,23281,191419
20150904,23330,23330,22254,22548,206005
20150907,22548,22743,22107,22548,134704
20150908,22401,22596,21618,22107,276382
20150909,22694,23624,22596,23477,218467
20150910,23477,24455,23086,24455,244118
20150911,24015,24993,24015,24944,270129
20150914,24700,25091,24357,24651,178297
20150915,24651,25140,24455,24944,179557
20150916,25042,25238,24504,24944,242975
20150917,24748,25384,24455,24602,227360
20150918,24651,25140,24602,24797,155732
20150921,24651,25335,24651,25140,197314
20150922,25140,25238,24748,25140,131108
20150923,25140,25140,23575,23721,296995
20150924,24015,24406,23770,24113,146969
20150925,23917,24308,23624,24210,100415
20150930,23721,24651,23575,24602,193861
20151001,24406,24846,24308,24504,116082
20151002,24553,25042,24553,24846,207552
20151005,25091,25140,24357,24357,125677
20151006,24797,25238,24210,24308,149708
20151007,24113,24455,24064,24357,113298
20151008,24357,24406,23330,23819,265754
20151012,23868,24504,23819,24308,127088
20151013,24455,24455,23281,24015,302780
20151014,23770,24064,22548,23819,550067
20151015,23428,23770,22694,22743,619390
20151016,22890,23037,22792,22792,112053
20151019,22988,22988,22303,22792,302354
20151020,22939,22988,22303,22499,307747
20151021,22499,22841,22401,22596,221973
20151022,22645,22743,22205,22205,190043
20151023,22499,23037,22401,22841,235885
20151026,23037,23134,22743,22743,151930
20151027,22694,23281,22694,23232,206202
20151028,23183,23183,22499,22548,264606
20151029,22596,22743,21618,21716,377260
20151030,21814,21814,21178,21276,480281
20151102,21325,21374,20787,20933,221006
20151103,20982,21325,20836,21178,243090
20151104,21080,21423,20689,20689,259238
20151105,20836,21423,20640,21227,260102
20151106,21178,21912,21080,21276,208589
20151109,21080,21716,20493,21178,344259
20151110,20885,21031,20004,20347,446933
20151111,20444,20689,19662,19857,261738
20151112,19857,19906,18488,18684,916252
20151113,18439,19417,18439,18879,462069
20151116,18439,19173,18390,18830,344287
20151117,18977,20102,18977,19857,324477
20151118,20249,20395,19319,19760,187213
20151119,19760,20004,19124,19466,446317
20151120,19368,19809,19319,19466,343421
20151123,19466,19564,18830,19515,344986
20151124,19368,19515,18733,19075,393543
20151125,18977,19222,18733,18879,258105
20151126,18879,19271,18781,19173,314687
20151127,19271,19319,19026,19075,224007
20151130,18928,19271,18635,19026,288573
20151201,19026,19564,18977,19075,299795
20151202,19124,19613,18781,19222,234750
20151203,19271,19955,19222,19417,285149
20151204,19368,19466,19026,19026,158071
20151207,19319,19466,18684,18733,226886
20151208,18781,18977,18439,18635,194893
20151209,18488,18684,18146,18195,257836
20151210,18097,18879,18097,18537,208551
20151211,18635,18879,18488,18830,146854
20151214,18635,18684,18243,18390,200867
20151215,18439,18586,17852,18146,172600
20151216,18195,18439,18195,18341,149124
20151217,18488,19075,18488,18781,223291
20151218,18928,20053,18879,19662,444956
20151221,19515,20053,19417,19857,273592
20151222,19955,19955,19368,19564,242975
20151223,19613,19809,19173,19222,184356
20151224,19417,19466,19026,19222,119237
20151228,19417,19466,18977,19173,118313
20151229,19173,19466,18733,18781,153654
20151230,18781,19124,18781,19075,98863
20160104,18977,18977,17950,17950,277816
20160105,17754,18146,17412,17705,169529
20160106,17803,17950,16825,17167,415922
20160107,17265,17412,16825,17070,219933
20160108,16776,17119,16580,16629,253315
20160111,16532,16825,16238,16238,237040
20160112,16434,16727,15749,15994,391480
20160113,16238,16336,15994,16091,188495
20160114,15798,16385,15749,16287,275126
20160115,16434,16776,16238,16385,236391
20160118,16385,16678,16336,16434,102439
20160119,16385,16434,15749,15847,163246
20160120,15896,15994,15064,15211,486635
20160121,15211,15553,14966,15358,265464
20160122,15456,15945,15162,15407,300118
20160125,15651,15749,15504,15553,240400
20160126,15504,15651,14771,15113,379627
20160127,15211,15504,14722,14820,563241
20160128,14771,15113,14624,15064,412469
20160129,15260,15407,15064,15260,198444
20160201,15651,15798,15407,15456,320407
20160202,15358,15456,14966,15113,307054
20160203,15309,15358,14624,14820,393542
20160204,14820,15113,14771,14869,266436
20160205,14869,15407,14869,15113,304347
20160211,14722,14820,14135,14282,513123
20160212,13939,14184,13450,13793,475984
20160215,13890,14037,13695,14037,355636
20160216,14037,14184,13695,13939,360985
20160217,14135,14233,13744,13842,194525
20160218,13988,14331,13842,14135,357818
20160219,14135,14233,13988,14135,113517
20160222,14037,14722,14037,14624,247857
20160223,14526,14771,14233,14380,191661
20160224,14331,14428,14086,14331,89102
20160225,14771,14966,14184,14282,332656
20160226,14428,14428,14184,14233,103576
20160229,14282,14380,13842,14380,259675
20160302,14428,14526,14282,14526,258320
20160303,14624,15798,14477,15749,863531
20160304,16140,17461,15945,17070,2007225
20160307,17167,17901,17021,17754,1242990
20160308,17705,18390,17216,18390,1087656
20160309,18390,18684,18097,18586,469888
20160310,18684,19075,18390,18733,566583
20160311,18488,19564,18488,19466,912502
20160314,19368,19711,19075,19564,672701
20160315,19466,19760,18830,18977,557093
20160316,19319,19662,19222,19515,563152
20160317,19662,20982,19613,20493,962332
20160318,20542,20836,20298,20738,361831
20160321,20933,21276,20689,20933,319565
20160322,21031,21520,20395,21325,495842
20160323,21031,21374,20493,21129,554365
20160324,21178,21178,20493,20640,617349
20160325,20493,20542,19906,20004,517587
20160328,20200,20200,19711,20004,477704
20160329,20053,21423,19760,21227,1091706
20160330,21325,22499,20836,22010,883694
20160331,22010,22645,21667,21912,637713
20160401,21814,21863,20493,20836,663620
20160404,20933,21031,20200,20395,506026
20160405,19026,19319,18097,18830,2738620
20160406,18684,20102,18684,19955,797551
20160407,19613,20347,19613,20249,311584
20160408,20053,20347,19564,20102,314414
20160411,20102,20395,19417,19906,315148
20160412,19760,19906,19075,19662,357043
20160414,19564,20640,19173,20493,628907
20160415,20347,20347,19760,19857,302876
20160418,19809,19809,18879,19222,496853
20160419,19368,19564,18977,19173,312917
20160420,19222,19417,18879,18977,260895
20160421,19173,19417,18928,19417,278042
20160422,19368,19368,18390,18586,628803
20160425,19466,21178,19173,20151,2060656
20160426,19955,20298,19173,20151,943007
20160427,20150,20350,19300,19900,496003
20160428,19900,20200,19900,19950,297257
20160429,19600,19850,19150,19750,232874
20160502,19650,19650,18850,19050,258454
20160503,19050,19150,18800,18950,160453
20160504,18900,19050,18400,18600,210635
20160509,18350,18850,17850,18100,286837
20160510,17900,18750,17750,18650,269996
20160511,18850,18850,18200,18350,155517
20160512,18400,18550,18100,18550,190246
20160513,18450,19000,18250,19000,287309
20160516,19100,19200,18750,19000,231050
20160517,19200,19200,18100,18450,388028
20160518,18300,18750,18050,18150,253891
20160519,18150,18550,17650,17900,259069
20160520,17750,17950,17350,17750,272688
20160523,17900,18100,17600,17700,143903
20160524,17600,17650,17050,17200,268128
20160525,17300,18450,17050,18200,418684
20160526,17900,18000,17400,17500,297108
20160527,17600,18050,17550,17700,175666
20160530,17750,17750,17350,17400,265312
20160531,17400,18200,17350,17850,262195
20160601,17850,18050,17650,17800,188506
20160602,17900,17950,17500,17750,218514
20160603,18000,18050,16700,17150,676170
20160607,17200,17300,16450,16550,504076
20160608,16550,16850,16150,16800,466797
20160609,16800,17200,16100,16450,550559
20160610,16450,17100,16250,17050,419464
20160613,16800,16800,15800,15900,544525
20160614,15800,16100,15700,15900,268920
20160615,15850,16200,15850,16050,183399
20160616,16000,16050,15500,15700,247743
20160617,15800,15950,15500,15900,202252
20160620,15950,16850,15900,16750,262154
