날짜,시가,고가,저가,현재가,거래량
20080102,144876,145878,138860,138860,192276
20080103,136855,136855,132343,136354,510666
20080104,135602,141116,132093,139111,371783
20080107,132845,136855,131341,136354,349686
20080108,135602,137356,133095,135351,383197
20080109,131090,135852,129335,135351,620891
20080110,136855,140865,134599,138359,632519
20080111,138359,140865,128333,130839,555296
20080114,127831,130839,120813,122317,693943
20080115,124322,125325,111790,113544,909794
20080116,109785,113795,107278,108782,847398
20080117,111790,114798,109283,112041,785409
20080118,108782,118808,107529,118307,515238
20080121,115800,117054,105524,107278,553185
20080122,102265,107278,99759,103017,828705
20080123,108782,112542,106276,110035,715132
20080124,112793,120563,112793,116552,629084
20080125,119309,121816,117054,120813,588471
20080128,117555,118808,108030,108782,507939
20080129,113294,113795,100511,101012,1182820
20080130,99508,101263,85973,85973,2026383
20080131,87226,92490,83216,87978,1822591
20080201,95999,101012,94244,98255,1147536
20080204,101012,111539,100260,109283,874278
20080205,108531,110286,103268,109785,734623
20080211,104772,109283,103268,108782,602952
20080212,111790,117304,110787,113294,766411
20080213,117054,119309,114296,117304,723203
20080214,121565,123570,119560,122317,540865
20080215,119309,128834,117555,126328,730474
20080218,127831,129837,123570,127831,495836
20080219,129586,132845,126829,132343,376999
20080220,128834,131591,124322,127330,391160
20080221,127330,129085,122067,124824,550941
20080222,122317,124072,119309,124072,262032
20080225,127080,129586,125826,125826,305876
20080226,127581,129085,125576,127080,202335
20080227,128834,133095,127831,129837,407518
20080228,130589,139361,128834,137858,504376
20080229,136604,141116,135351,136354,330458
20080303,131591,134348,130589,132343,299567
20080304,134098,135351,129085,132845,455028
20080305,132845,133095,129335,131591,272523
20080306,131591,133596,129085,132093,379437
20080307,128834,130839,127831,128333,280482
20080310,122818,124322,114046,118056,909489
20080311,113795,120312,110787,118056,455224
20080312,125325,126578,118056,118056,452212
20080313,116803,119059,111038,113795,431653
20080314,115299,116302,103518,108531,694564
20080317,105524,107028,100511,107028,661627
20080318,107278,109785,103268,107780,548414
20080319,112793,114046,111289,111790,582906
20080320,108782,111790,107028,110787,376894
20080321,113294,116803,111790,112793,410061
20080324,114296,115048,111790,112291,452954
20080325,114798,117304,113294,116803,615108
20080326,116803,119059,115299,118056,285982
20080327,115800,117304,114296,114798,218791
20080328,113043,116552,112793,115550,665844
20080331,115550,117555,111289,111539,563231
20080401,112542,114046,106276,108531,834929
20080402,111539,113795,108531,108782,577307
20080403,108030,116051,108030,116051,642784
20080404,117805,120563,116051,120061,701669
20080407,121816,123821,120312,120312,528043
20080408,121064,121315,117304,117805,371045
20080410,115800,117555,113043,115550,441504
20080411,115800,118808,114547,115299,508420
20080414,112291,113544,108531,108782,662866
20080415,108782,110537,105022,107529,969948
20080416,109283,111038,108531,109033,389323
20080417,111289,111790,105774,107028,429084
20080418,107028,108030,105273,106025,597574
20080421,108030,115299,107780,113544,877462
20080422,115800,117555,113795,116051,722922
20080423,116051,122317,115299,121816,897520
20080424,123320,123320,117304,119811,577195
20080425,121816,122568,118056,119811,444446
20080428,120813,121565,115800,117304,476680
20080429,119309,119811,111038,111539,864163
20080430,111539,113294,108782,111038,609626
20080502,114296,117805,112542,117054,580620
20080506,119811,122067,117805,118808,430716
20080507,120312,123821,118808,121064,666291
20080508,118307,120061,117805,119309,341366
20080509,121064,123821,120061,121315,518996
20080513,122568,122568,114547,118808,629676
20080514,118808,118808,114798,116302,416357
20080515,118557,120312,117304,120061,377616
20080516,120563,129335,120563,128333,1120993
20080519,131090,133095,128082,132343,822218
20080520,132845,134348,128333,132343,615780
20080521,129085,130839,123320,124072,1154025
20080522,122818,126578,120813,126077,737520
20080523,126578,126829,121816,122317,500498
20080526,120312,123821,117304,120312,378288
20080527,121816,122067,116803,118557,561256
20080528,119309,121816,117054,118557,418178
20080529,119059,122568,119059,121565,422307
20080530,123821,124072,118808,120813,330867
20080602,122317,124072,120813,123320,302589
20080603,122568,123570,119560,121064,369383
20080604,121064,122317,118307,122317,292810
20080605,122818,122818,118808,121315,234542
20080609,117555,119560,116302,119309,210975
20080610,119811,120312,114547,115299,419335
20080611,115299,116803,111790,114046,447021
20080612,111289,111790,107278,108782,702192
20080613,108782,110035,102265,106777,810057
20080616,107529,109534,106025,106526,373624
20080617,106025,108281,106025,106777,320492
20080618,106025,109534,105774,108531,426030
20080619,107028,107529,103518,105273,382339
20080620,106526,107028,103769,105774,224071
20080623,102516,105774,101513,105022,219090
20080624,105022,106025,103769,104270,183796
20080625,103769,106025,102767,106025,215930
20080626,106276,107780,105273,105524,192605
20080627,101764,103769,101263,103769,251448
20080630,102767,103518,101764,102767,224793
20080701,102516,103518,97503,99257,484683
20080702,99257,99508,94244,97503,646963
20080703,93743,95748,93242,95748,399230
20080704,95247,97252,93492,93743,295653
20080707,92239,94746,91487,93242,308280
20080708,93492,93994,88229,91237,347059
20080709,93242,94746,91237,91487,270680
20080710,89231,96250,89231,93492,441571
20080711,95247,98756,94244,97754,431823
20080714,97503,100761,97503,97754,275507
20080715,97754,99257,93242,94495,326227
20080716,95247,97252,90986,93743,235772
20080717,97002,97252,95247,95498,298753
20080718,96751,97754,92239,94244,262288
20080721,94495,97002,94244,95999,231476
20080722,95498,96751,94746,96250,178196
20080723,98505,101764,97503,100009,520067
20080724,101513,105022,101263,102265,541547
20080725,100260,101764,98756,101263,202551
20080728,103268,104772,102516,102516,266281
20080729,99759,103518,98255,103518,366295
20080730,105774,106025,98255,100260,514294
20080731,100260,101764,98756,101513,310841
20080801,100009,100761,96500,99007,247919
20080804,93242,94996,89733,92490,726241
20080805,90234,91237,87477,89733,598276
20080806,91989,93242,89983,90986,343917
20080807,90485,91237,87978,89733,307648
20080808,87728,91989,87728,89733,254923
20080811,92239,92490,90485,90986,219465
20080812,91487,93994,89733,91989,243012
20080813,91989,92741,90735,91237,136413
20080814,90485,92490,90485,91738,246223
20080818,92991,93242,91237,91237,161232
20080819,88981,90234,87978,90234,174290
20080820,89231,89482,87978,89231,234332
20080821,89231,89231,83968,85221,375130
20080822,85221,86474,83968,85221,200135
20080825,85722,86474,84218,85221,169200
20080826,83216,84469,82213,83717,246447
20080827,81461,81461,78203,80459,465778
20080828,81712,81963,78955,78955,201518
20080829,80709,81461,77952,79205,235609
20080901,76448,77200,72689,74443,339311
20080902,73190,74944,68678,70433,587596
20080903,68678,73691,68678,73691,400361
20080904,73691,76950,71185,73691,351731
20080905,70934,72187,69430,71435,303022
20080908,73440,81963,73190,78955,532776
20080909,78955,79205,76198,76950,267961
20080910,75446,80459,74192,79957,440408
20080911,80208,84720,79205,80208,458940
20080912,82213,87477,81211,85221,469515
20080916,75195,78453,72939,75195,882820
20080917,78203,82715,76950,79957,616271
20080918,76699,78955,75696,77952,300973
20080919,83717,87728,81712,84469,676832
20080922,86725,89231,84218,84469,580710
20080923,82965,87728,82965,86725,345665
20080924,87226,89983,86224,88730,386840
20080925,87226,91989,85722,90485,716624
20080926,91738,91989,88981,89983,319792
20080929,92239,92239,84720,85973,409694
20080930,79707,84970,78704,84720,576846
20081001,84970,85722,81963,82715,334705
20081002,82965,84218,78704,79957,293277
20081006,77200,77451,72689,73190,387035
20081007,70683,74192,68929,72438,475106
20081008,68427,69179,63164,64166,561504
20081009,62662,66673,61660,65169,555330
20081010,60908,61660,55394,57399,1074979
20081013,60156,61660,56898,60908,711182
20081014,64668,69931,64417,69931,794588
20081015,68678,70934,66673,70934,535308
20081016,64918,66172,60407,60407,630997
20081017,63414,63916,52637,54642,1004185
20081020,55895,56647,49378,52386,1081653
20081021,54391,55394,50631,50631,984697
20081022,50130,52887,46120,46120,788982
20081023,42460,43964,39302,41859,1526171
20081024,42861,43713,35592,35592,1551946
20081027,35843,39051,33587,34590,1527023
20081028,32986,39753,32935,39753,1094538
20081029,44616,45668,37547,41056,2043556
20081030,46621,47172,45217,47172,837412
20081031,49629,54140,48676,54140,1429541
20081103,56146,61660,54391,56146,2312423
20081104,57148,58401,52887,57649,1449467
20081105,59655,61409,56396,56898,1033997
20081106,53388,54642,48375,48375,885469
20081107,45869,55394,45869,55394,1231049
20081110,58903,63665,58652,63665,1771639
20081111,63164,68177,60156,60156,2629786
20081112,58903,65420,58652,62662,1839032
20081113,60156,64668,59153,64668,2499425
20081114,71686,73190,65670,66172,1991154
20081117,66172,66924,63665,63916,1278685
20081118,62412,65921,61660,61660,728864
20081119,63164,63665,58151,62161,1097021
20081120,58652,61409,55644,55644,1086159
20081121,55895,63916,55895,63916,1658535
20081124,67174,70683,65169,65169,2919676
20081125,70934,73942,65169,65670,2285250
20081126,69179,70182,64918,66422,1197207
20081127,68929,71686,66172,67425,1791284
20081128,67676,69179,62662,63916,1922477
20081201,64668,66673,62662,65169,1072405
20081202,62161,64668,61911,63665,661280
20081203,65420,68177,63665,64918,1050197
20081204,66673,67174,61660,62913,991797
20081205,63916,64417,62412,63665,628587
20081208,65420,71937,63916,69430,2969000
20081209,70433,71435,66673,66924,1619513
20081210,67676,73190,67425,70433,1919493
20081211,70182,72689,69179,70934,1137249
20081212,69681,75947,68929,70182,1984907
20081215,73190,76448,72438,74944,1527314
20081216,74443,76950,70683,71937,1146090
20081217,73942,74443,69430,70934,780187
20081218,71185,71937,69430,70182,521847
20081219,70182,74192,70182,72689,973977
20081222,74443,76198,72689,75696,912976
20081223,75696,78704,75195,75947,1257227
20081224,76198,76699,72187,73942,736353
20081226,74443,74694,71686,72187,575395
20081229,69931,70683,67425,69179,545902
20081230,69179,70683,67676,67676,690554
20090102,69681,73190,68678,72939,915751
20090105,74694,74944,71435,71937,705757
20090106,72689,75195,72187,74443,637458
20090107,74944,80208,73440,77952,1098396
20090108,75947,81461,75696,77702,765918
20090109,79456,82464,78704,78955,895786
20090112,77702,80459,75195,75947,499523
20090113,76198,80709,74944,79957,632437
20090114,80459,81963,79205,80960,496455
20090115,77200,79205,73691,75947,487510
20090116,76699,77952,73190,75947,472190
20090119,76950,79957,75446,78955,563377
20090120,78453,78704,74944,75195,475699
20090121,70683,76950,70683,74443,399840
20090122,76950,77200,74443,76699,314763
20090123,75446,79205,70182,74192,564234
20090128,76448,78203,75696,77451,441683
20090129,78203,79456,76699,77702,411137
20090130,76198,80459,75947,80459,488039
20090202,80208,84720,79456,80960,527885
20090203,82213,82965,79707,80208,409519
20090204,81963,82213,80208,81211,357646
20090205,80709,83466,79205,79456,440422
20090206,81211,81963,79205,80960,351585
20090209,82213,82715,78704,79707,360474
20090210,81211,81211,75446,77200,723335
20090211,74192,76950,73190,76448,696128
20090212,76198,77451,73691,74192,702659
20090213,74443,77200,74443,77200,324496
20090216,77200,77702,74694,74694,307364
20090217,74192,74694,70182,71185,389349
20090218,69681,72187,68427,70182,328976
20090219,69931,71686,67926,69681,313187
20090220,67676,69430,62913,63916,463832
20090223,62662,66422,60657,66422,582294
20090224,62913,63916,59655,60908,465459
20090225,63414,63665,58903,60156,406499
20090226,60657,62913,58151,59655,285844
20090227,59655,60908,58652,59655,269180
20090302,58401,58652,55143,55644,267815
20090303,52637,58401,52637,57148,442226
20090304,56396,60908,55895,60908,370604
20090305,61660,62662,57649,57649,413127
20090306,56396,58151,56146,57148,262425
20090309,58652,59153,56647,58903,206012
20090310,57900,62161,57649,61159,332758
20090311,63164,63665,62161,63414,364101
20090312,63665,64166,61159,62913,278186
20090313,64166,64668,62913,63164,224588
20090316,63164,63665,59905,60657,277119
20090317,61911,64166,60657,63916,343074
20090318,65670,66172,64166,65169,317895
20090319,65169,66172,64166,64417,166102
20090320,65420,66924,63665,63665,356445
20090323,64668,67676,64166,67676,364891
20090324,69681,69681,67676,69430,273385
20090325,69179,70182,67425,70182,260634
20090326,68929,70182,68678,69931,230636
20090327,70683,71435,67926,68678,305747
20090330,68177,68929,64166,64668,210329
20090331,65169,66924,64166,64918,235176
20090401,64918,66673,63916,66673,272220
20090402,67926,70182,66673,69931,394163
20090403,70433,70683,67425,69681,422258
20090406,70182,73190,69681,70433,612988
20090407,70683,71185,68427,70182,271045
20090408,68427,68929,65670,65921,305292
20090409,66172,68678,66172,68678,335384
20090410,70683,71185,67676,69430,370379
20090413,69931,73440,68427,70182,568910
20090414,71185,71937,69179,70683,320484
20090415,69430,70683,68177,69430,339816
20090416,70683,75195,70433,74192,973165
20090417,75446,76448,70934,71435,628238
20090420,72438,72438,69931,70182,289858
20090421,69179,72438,67676,72438,478493
20090422,72939,72939,70934,72438,321783
20090423,72438,76448,72187,75195,648252
20090424,77451,77702,74192,74443,446146
20090427,75696,76950,73440,73440,329168
20090428,73440,73942,69179,69179,276542
20090429,69681,71686,69179,71686,194939
20090430,72187,74944,71686,74944,305016
20090504,75947,77451,75195,77200,450005
20090506,77952,78203,76448,77451,383764
20090507,77702,78203,74944,75446,340494
20090508,74944,77200,74443,74694,304362
20090511,75195,75696,73691,75446,166754
20090512,74192,75195,73440,73691,239371
20090513,73942,74443,72187,73691,411617
20090514,72689,72689,71185,71686,294203
20090515,72689,72939,71185,71937,173702
20090518,71435,71686,69681,70433,196108
20090519,71686,74192,71185,72438,348246
20090520,72939,73691,72438,73190,191817
20090521,72689,72689,70683,70683,186044
20090522,70433,72187,68678,68678,190241
20090525,68678,70683,62662,68427,301308
20090526,68678,69681,67174,67425,231212
20090527,68678,69681,67174,67174,157157
20090528,67174,70182,66673,70182,125609
20090529,69179,70433,68678,69179,181460
20090601,70182,70433,68177,70433,108831
20090602,71435,72939,70182,70934,307983
20090603,71937,74443,71937,72689,267837
20090604,72689,73190,69179,69430,191308
20090605,69179,69430,67174,68929,226074
20090608,67676,69179,67676,68427,87079
20090609,68427,68678,64417,64417,256762
20090610,64918,66422,64668,66422,185342
20090611,65921,68678,65670,68678,325399
20090612,67926,69430,67425,67926,166267
20090615,67926,67926,64918,66673,198282
20090616,65670,66673,65169,65670,132351
20090617,65420,65670,64417,64918,144715
20090618,65670,65921,63665,63665,128549
20090619,63916,64166,62913,63665,193123
20090622,63164,63414,61911,63164,260474
20090623,61911,62161,60156,60156,271739
20090624,60657,61159,59905,59905,193550
20090625,60156,63665,60156,63164,240548
20090626,63665,63916,62913,63414,159984
20090629,63164,63414,62161,62662,80993
20090630,62662,64668,62662,63414,186032
20090701,63414,64918,62662,64918,185062
20090702,65169,65169,63665,64668,247183
20090703,63916,65420,63414,64918,114899
20090706,66172,66924,65420,65670,157833
20090707,65670,66172,64668,65670,130131
20090708,64668,65670,64166,65670,148920
20090709,66422,66422,64918,64918,115906
20090710,64668,65169,62913,64166,149449
20090713,63164,63916,60908,61409,141218
20090714,61911,62412,59655,60156,158017
20090715,60156,60908,59905,60407,274793
20090716,60908,63164,60657,62161,427470
20090717,62913,63665,60908,62161,425110
20090720,62412,65169,61911,64918,342882
20090721,65420,66172,64417,66172,259022
20090722,66172,68678,65921,67926,285994
20090723,67926,68177,65921,66172,336535
20090724,66673,67174,65420,66172,349166
20090727,66172,67174,65420,66422,286870
20090728,66673,67174,65670,65921,134546
20090729,65670,65670,63916,65670,208334
20090730,65670,66673,65169,65670,142547
20090731,66172,68177,66172,68177,307598
20090803,68427,68678,67174,68427,136772
20090804,68678,69179,66924,68177,254893
20090805,67926,68678,66422,66924,139968
20090806,65921,67676,65921,66924,140005
20090807,66172,67676,65921,66924,96979
20090810,68177,68177,66924,67425,133349
20090811,66924,67676,66673,67425,142359
20090812,67425,67425,65921,66422,150965
20090813,66924,67174,66422,66422,129261
20090814,66673,69179,66172,69179,227448
20090817,69179,69430,65169,66924,254552
20090818,65921,66673,62412,64668,308290
20090819,64668,64918,62161,62161,313006
20090820,62412,62913,61409,62161,177269
20090821,62161,62913,60407,60657,229918
20090824,61159,61911,60657,61660,229714
20090825,60908,61409,60156,60657,201194
20090826,60407,62412,60407,62412,178860
20090827,62662,64166,61911,64166,229208
20090828,64668,64668,62913,63414,120167
20090831,63164,63414,61409,61911,110243
20090901,61911,62913,61911,62161,149680
20090902,62161,62913,60908,61159,149684
20090903,61409,61911,60657,61409,192611
20090904,61409,62161,60407,60657,126072
20090907,60908,61911,60657,61409,137989
20090908,61409,62161,60407,61911,222573
20090909,61911,62161,60657,61159,195240
20090910,61159,65169,61159,64918,374300
20090911,64417,65420,63164,65420,195832
20090914,64668,64918,63164,63414,128968
20090915,63916,65420,63665,63665,111601
20090916,63665,64668,62913,64417,120470
20090917,65169,66422,64668,66422,205423
20090918,66673,68678,66422,68678,404229
20090921,68678,69681,68177,68678,209724
20090922,69179,69931,67926,69681,176538
20090923,69681,69681,67676,68678,131240
20090924,68427,68427,65921,66172,143849
20090925,65420,66172,64166,64668,175551
20090928,64166,66673,63164,66172,133163
20090929,65921,66673,65169,66673,84965
20090930,66172,67425,60156,62412,334933
20091001,61660,62412,56647,56647,628641
20091005,56396,59153,55895,56647,265182
20091006,57399,58151,56647,57148,157265
20091007,57399,60657,57399,60156,258613
20091008,60657,60657,59153,60156,139589
20091009,60407,61660,59153,61660,109700
20091012,61911,62161,60156,60908,86640
20091013,60156,60657,58401,58652,175946
20091014,58652,59153,57900,58652,95370
20091015,58652,59655,58401,58401,85788
20091016,58903,59404,57649,57649,133135
20091019,57148,58652,56396,58652,85733
20091020,58401,59905,58401,59905,100592
20091021,59655,60156,58401,58903,101470
20091022,58652,58903,57399,57399,83197
20091023,58151,58401,56647,56898,129437
20091026,56396,57399,56396,56396,101294
20091027,56898,56898,55644,56396,208765
20091028,56146,56396,52386,52386,260626
20091029,51885,51885,49478,49478,478815
20091030,50631,51634,49929,49929,409477
20091102,48626,51634,48626,49879,289275
20091103,50631,50882,49679,49779,100097
20091104,50381,51133,49629,51133,183269
20091105,50381,50631,49278,49378,141294
20091106,50130,50381,49629,49929,139299
20091109,49779,51133,49679,50631,136150
20091110,50631,51133,49127,49178,213113
20091111,49278,49729,48576,48776,127496
20091112,49178,49629,48827,48827,147095
20091113,48676,48927,47122,47122,232072
20091116,47373,47624,46120,46220,284101
20091117,46370,46821,45468,46571,261747
20091118,46270,46872,45117,45117,299678
20091119,45167,45518,44716,44766,358825
20091120,44766,45869,44766,45318,272984
20091123,45468,45819,44816,44866,162106
20091124,45318,45418,44215,44365,180927
20091125,44465,44716,43613,43914,247791
20091126,44064,44515,43162,43262,292832
20091127,42861,42911,39352,39352,790674
20091130,40254,41107,40004,40555,412732
20091201,40204,40655,39202,39252,341502
20091202,39603,40355,39302,39502,317458
20091203,39753,42510,39703,42360,641206
20091204,42360,43864,41708,43613,730714
20091207,43613,43814,42711,43613,275318
20091208,43864,43864,43062,43463,242776
20091209,43012,45668,42861,45668,519992
20091210,45969,48125,45518,48125,895016
20091211,48426,54892,47624,54642,1332054
20091214,54140,54391,50631,53138,1006894
20091215,52637,55895,51885,55895,634211
20091216,55394,56146,54391,54892,372455
20091217,54140,54642,51133,51133,559694
20091218,50882,52637,50631,51133,318086
20091221,51634,54140,51383,52887,309040
20091222,53138,54140,52637,54140,237259
20091223,54391,54391,51634,52637,148986
20091224,52887,53388,51383,53388,132687
20091228,53138,55143,52386,54642,260343
20091229,53138,53639,52637,53388,261625
20091230,53138,53388,51634,51634,150478
20100104,51885,52135,50882,51133,179698
20100105,50882,51133,49428,49528,405296
20100106,50080,51383,49929,50631,301334
20100107,51885,58151,51133,58151,1045014
20100108,59404,66422,59153,63916,1833710
20100111,64166,65921,61660,64918,599732
20100112,64918,64918,62662,63414,275006
20100113,61660,62412,59404,60407,305391
20100114,60657,65670,60407,61159,757943
20100115,62161,66924,60908,65921,650105
20100118,65670,69430,64668,66422,374743
20100119,67425,68929,66673,66673,295176
20100120,66924,67676,63414,64918,292010
20100121,63414,65670,62161,64668,261238
20100122,62913,63414,60908,62412,280827
20100125,61159,61911,60156,60156,177310
20100126,61159,61911,56396,56396,341731
20100127,57148,58401,55895,56396,271354
20100128,57148,57900,55143,57148,241266
20100129,56146,56396,53388,54642,259497
20100201,54140,58652,54140,58151,296479
20100202,58652,59655,57399,58652,288984
20100203,59153,61409,58903,60657,188801
20100204,60156,60908,58903,60407,202329
20100205,57148,59655,56146,59153,230329
20100208,58401,59655,56898,57399,169954
20100209,57399,58652,56146,56898,200496
20100210,57399,57399,55394,56146,180309
20100211,56647,63916,56647,61911,703824
20100212,61660,66673,61159,62913,764171
20100216,62913,64417,62662,62913,165030
20100217,64668,66172,63916,65169,319261
20100218,65169,66673,64166,66172,200482
20100219,66172,67174,64668,65670,305956
20100222,67174,69681,66924,68678,393909
20100223,69179,69430,67676,68929,286357
20100224,68177,70934,67425,69179,261707
20100225,70934,70934,65921,66172,299158
20100226,66673,67425,64668,65169,219499
20100302,66673,66924,65169,66673,187815
20100303,66172,69430,65921,68678,171444
20100304,68678,69681,68177,69430,137287
20100305,70182,71185,68678,69179,134637
20100308,69681,71937,68678,71185,228487
20100309,71435,72689,70683,71185,130648
20100310,71686,74192,69430,70683,388876
20100311,70934,72187,69681,70683,203776
20100312,71185,72689,70934,72187,147295
20100315,72438,73440,71686,72187,117031
20100316,71686,73440,70934,73190,146991
20100317,72939,74192,72187,73942,179066
20100318,72939,73691,71435,73440,145615
20100319,72939,75195,72438,74192,194647
20100322,74944,75696,73440,74694,166606
20100323,75195,78203,74944,75947,311701
20100324,76448,76950,75195,76950,133572
20100325,76950,76950,73691,75947,255663
20100326,75195,77200,73691,76198,223159
20100329,74944,76699,73942,75947,192888
20100330,75947,77702,75947,77702,208348
20100331,78203,78203,76699,77952,136209
20100401,77702,78203,77200,77702,185174
20100402,77702,78203,76198,77200,212744
20100405,77702,77702,74192,76448,292152
20100406,76198,76699,75195,76448,105491
20100407,76448,76950,74944,75947,534430
20100408,76198,76198,74694,75947,182802
20100409,75195,75947,74944,75696,184270
20100412,76699,77200,75446,76198,126481
20100413,76198,76198,74443,75195,219068
20100414,74694,78955,74694,76950,500598
20100415,77451,78704,76448,77451,353822
20100416,77451,79456,76950,77952,218104
20100419,76950,79707,76950,78453,299537
20100420,79456,79957,77200,78955,180408
20100421,78955,80960,78704,80459,421452
20100422,79957,81461,79456,80709,183995
20100423,80459,81211,79205,80709,263502
20100426,80709,81712,79957,80208,241358
20100427,81211,81461,79957,80459,141258
20100428,79456,81211,78704,80709,190642
20100429,80459,80709,78955,79707,190688
20100430,79707,80208,78203,78955,287739
20100503,78704,79205,77451,77952,233981
20100504,77952,78955,77451,77702,112970
20100506,75947,77200,75446,77200,234825
20100507,74694,75947,72939,74694,307482
20100510,74944,75696,73190,73190,379487
20100511,74192,74192,69681,69681,694173
20100512,69430,69430,64417,64918,1243686
20100513,65921,68929,65670,68678,803624
20100514,68177,68177,65670,66172,571745
20100517,64417,64417,59655,59655,1053347
20100518,60657,61660,56898,60657,1068755
20100519,60657,61409,59404,60407,417851
20100520,58401,59404,54892,55644,1168932
20100524,55644,58652,55644,58151,644945
20100525,57649,59404,56898,58903,835092
20100526,59655,60156,57399,58151,335778
20100527,57900,59655,57399,59153,307891
20100528,60657,61660,59404,61409,470089
20100531,61409,62412,60908,61660,290863
20100601,61409,62161,59905,61159,280392
20100603,61911,63665,61159,63164,382904
20100604,63414,65169,62913,63665,345661
20100607,61409,62161,59655,60657,502828
20100608,60657,60657,59153,59655,506644
20100609,60156,60407,58401,58903,297544
20100610,58652,62161,58401,61660,586842
20100611,63414,64417,63164,64166,551829
20100614,65169,65169,63164,63916,239972
20100615,63414,65420,62662,62913,338525
20100616,63665,65670,63414,65420,417534
20100617,65670,67926,65169,66422,529980
20100618,67174,67425,65420,66172,241510
20100621,67174,68678,66924,66924,419178
20100622,66422,69179,65670,66172,508581
20100623,66172,67676,65420,65670,277929
20100624,65921,68929,65921,67425,712180
20100625,66924,67676,65921,67174,234647
20100628,68177,69179,67174,67676,299710
20100629,68177,69430,64918,65420,413650
20100630,63414,65670,62913,64918,450005
20100701,64166,64668,62662,62913,449579
20100702,63665,67926,63414,66422,910542
20100705,68177,71686,67926,71185,844023
20100706,70683,72689,68929,71185,616052
20100707,71435,73440,70433,71686,423676
20100708,73691,77702,72438,76198,909459
20100709,77952,79707,75696,76448,825168
20100712,78203,78453,75195,77451,391184
20100713,77451,78704,76198,77451,278049
20100714,77702,81211,76448,79707,716935
20100715,78955,80208,76950,76950,469425
20100716,77952,78955,75947,77451,424262
20100719,76198,77200,74192,75947,584115
20100720,76699,79456,76198,77952,353504
20100721,78955,81712,78453,80709,466868
20100722,80709,84469,80459,82965,793734
20100723,84720,86224,81963,83717,444981
20100726,83968,84720,82213,84720,306672
20100727,84970,85722,81712,82965,408059
20100728,83717,85221,82464,83466,350508
20100729,83466,83466,79957,81712,459289
20100730,80208,81712,79205,81211,324987
20100802,81712,82213,77200,77702,1256247
20100803,79205,80960,78453,80459,474213
20100804,81211,83717,80459,81963,419032
20100805,82715,83717,81461,82464,265405
20100806,82464,82715,78203,80960,395798
20100809,79957,83466,79205,82965,302180
20100810,83466,84469,82464,83968,355158
20100811,84218,86474,83717,84970,623062
20100812,83717,84218,81461,82213,315320
20100813,81712,83466,79707,83216,431290
20100816,82464,82965,81211,82464,212292
20100817,84218,85221,82464,83717,177259
20100818,83717,84970,82715,84970,223393
20100819,84970,85472,83717,84720,140426
20100820,83466,84970,82464,83968,166098
20100823,84218,84720,82213,83466,201661
20100824,82965,83466,78704,79957,511198
20100825,78955,79456,76198,77451,512882
20100826,78203,80459,78203,79707,518362
20100827,78203,80459,78203,79707,251579
20100830,81712,82213,80208,80960,200353
20100831,80459,80960,79205,80459,263331
20100901,80960,83717,80459,82213,219170
20100902,83216,83968,81461,82464,280819
20100903,83466,84970,82965,83466,397410
20100906,84469,84970,82213,83466,188055
20100907,83216,83466,81712,82213,180450
20100908,81712,84218,81461,81963,257153
20100909,82213,82965,79456,82464,287364
20100910,82965,83717,82464,83466,179792
20100913,84218,89733,83968,88229,874693
20100914,88730,92490,87728,89983,751286
20100915,90986,91989,89733,90485,312581
20100916,90234,92741,89482,91487,247308
20100917,91487,92239,89983,91989,236118
20100920,91237,91487,89733,90735,139766
20100924,90485,92741,89983,92239,323893
20100927,93242,96250,92991,94244,326678
20100928,94495,96250,94244,94746,179808
20100929,94495,95247,91989,92741,280063
20100930,92991,95498,92490,94495,334045
20101001,94495,95748,91237,92239,308092
20101004,92490,92991,88981,89733,479918
20101005,89482,91237,86474,88479,457769
20101006,89231,92741,88730,91989,465549
20101007,91487,96250,90735,93994,469940
20101008,93994,95247,91738,93492,201651
20101011,93492,94244,89733,90735,289389
20101012,90735,91738,88981,90986,263203
20101013,91738,94746,90485,93743,362988
20101014,94495,97002,94244,94746,363185
20101015,94996,95247,92991,93743,179112
20101018,94495,94495,89733,90735,439357
20101019,91487,92490,90485,90485,200333
20101020,89231,90485,88479,90234,310241
20101021,91237,91487,89482,89733,192579
20101022,89733,93492,88981,92741,360319
20101025,93492,97503,92991,95748,557881
20101026,96500,99257,95748,96500,390388
20101027,98505,98505,94996,94996,295477
20101028,94495,95999,92741,94996,204169
20101029,96250,96751,93492,94244,173907
20101101,94996,96751,93242,95748,237791
20101102,96250,101764,95999,98756,948065
20101103,100009,103518,99257,101764,737851
20101104,102265,105022,100761,100761,297701
20101105,101263,104020,101263,101513,352050
20101108,102265,103017,97754,98756,319058
20101109,99508,101263,97252,98756,178521
20101110,98505,99759,97503,99508,310025
20101111,99007,102767,98505,98505,330492
20101112,100009,102516,95999,97252,519106
20101115,97002,97503,93743,96250,341254
20101116,95498,96250,93242,93492,340323
20101117,91738,95498,91487,94244,216120
20101118,94495,95999,93492,95498,255545
20101119,95498,96250,93743,96250,271294
20101122,95748,96250,93994,94495,235657
20101123,93994,94495,90485,90986,346473
20101124,87728,89983,87477,88730,332473
20101125,89733,89733,87477,88479,243736
20101126,88981,91989,87978,88229,325735
20101129,88479,88981,85722,86976,194496
20101130,86725,89482,86474,87226,160528
20101201,87477,88981,86976,87728,178569
20101202,88981,89733,86224,86725,407281
