날짜,시가,고가,저가,현재가,거래량
20080102,23547,23547,23547,23547,169
20080103,23547,23998,23547,23547,119
20080104,23547,24048,23547,24048,249
20080107,24950,24950,23547,23597,1656
20080108,24649,24950,23597,24900,2574
20080109,24148,24850,24148,24198,189
20080110,24048,24950,24048,24549,249
20080111,24449,24449,24248,24248,89
20080114,23948,23948,22044,22645,11107
20080115,22645,23046,22645,22996,159
20080116,22545,23046,22545,22946,3053
20080117,22996,23547,22545,23046,9630
20080118,23046,23046,22846,23046,918
20080121,23046,23547,22545,23547,1437
20080122,23046,23046,21242,22545,4760
20080123,22595,23297,22595,22595,139
20080124,22044,23246,22044,23246,908
20080125,22745,23246,22745,23246,528
20080128,23196,23246,22144,22545,2744
20080129,22846,22846,22044,22545,1027
20080130,22244,22395,21743,21743,2764
20080131,21393,22395,21393,22044,1287
20080201,21743,22395,21743,22044,459
20080204,22194,22445,22194,22345,748
20080205,22445,22445,21894,22044,1407
20080211,22445,22445,22044,22044,299
20080212,22044,22345,21844,22345,548
20080213,21743,22244,21743,22044,928
20080214,22144,22445,22094,22144,449
20080215,21844,22194,21844,22194,299
20080218,22194,22244,22044,22194,1956
20080219,22144,22194,22044,22144,698
20080220,22044,22194,22044,22144,808
20080221,22144,22244,22044,22194,299
20080222,22194,22295,22094,22094,249
20080225,22244,22295,22044,22295,628
20080226,22345,22345,22044,22094,79
20080227,21693,21944,21142,21543,3483
20080228,21443,21944,21443,21944,339
20080229,21593,21643,21393,21393,209
20080303,21042,21343,20842,20842,598
20080304,21844,21844,20842,21242,499
20080305,21042,21343,20842,21343,99
20080306,21593,21593,20842,20942,179
20080307,20942,20942,20942,20942,0
20080310,20892,20942,20591,20591,219
20080311,20591,20591,20441,20541,229
20080312,20942,20942,19339,19339,1477
20080313,19689,19689,18086,18086,2604
20080314,19138,19138,17585,18086,518
20080317,18487,18487,17585,18437,1866
20080318,18136,18136,17685,17685,3143
20080319,17786,17936,17084,17084,4311
20080320,17385,17986,16583,16633,2265
20080321,16733,16984,16733,16834,838
20080324,16834,17635,16834,17635,668
20080325,17635,17735,16934,16934,2105
20080326,17285,17285,17034,17234,618
20080327,17285,17335,17134,17335,538
20080328,17084,17535,16934,16934,818
20080331,17134,17184,16934,16934,738
20080401,16934,16984,16934,16984,998
20080402,17234,17234,16884,16934,3073
20080403,16884,17234,16884,17234,1976
20080404,17134,17435,17134,17435,299
20080407,17986,17986,17585,17585,2195
20080408,17585,17585,16984,17034,5738
20080410,17034,17234,16834,17034,4890
20080411,17034,17234,16934,17134,2964
20080414,17234,17234,16834,16834,1856
20080415,18938,18938,16733,16934,988
20080416,17285,17285,17084,17285,788
20080417,17635,17635,17335,17635,898
20080418,17635,17786,17435,17485,608
20080421,17385,17535,17034,17335,1546
20080422,17535,17635,17335,17535,948
20080423,17535,17585,17285,17585,1097
20080424,17635,17635,17535,17535,389
20080425,17735,17735,17485,17535,2744
20080428,17535,17836,17335,17385,1037
20080429,17435,17485,17234,17335,938
20080430,17285,17685,17184,17685,888
20080502,17535,18236,17535,17635,948
20080506,17735,17786,17485,17786,638
20080507,18036,18036,17535,17735,499
20080508,17936,17936,17485,17786,309
20080509,17986,17986,17385,17435,349
20080513,17635,17936,17234,17485,1057
20080514,17285,17385,17134,17385,2624
20080515,17385,18036,17385,17986,1077
20080516,17986,18136,17635,17685,1137
20080519,17385,17635,17234,17635,3842
20080520,17635,17936,17635,17735,3363
20080521,17936,18036,17635,17886,5598
20080522,17886,17886,17685,17735,219
20080523,17836,17836,17635,17635,2584
20080526,17435,17786,17435,17786,189
20080527,17786,17786,17786,17786,0
20080528,17485,17485,17234,17435,449
20080529,17435,17635,17435,17535,199
20080530,17435,17435,17285,17335,538
20080602,17535,17786,17435,17485,628
20080603,17385,18036,17385,17635,698
20080604,19539,19940,17535,17936,698
20080605,17936,18337,17335,17735,798
20080609,17385,17585,17335,17585,548
20080610,17435,17735,17335,17435,239
20080611,17485,17585,17485,17585,19
20080612,17535,17535,17335,17385,279
20080613,17535,17535,17285,17335,299
20080616,17385,17535,17234,17285,1017
20080617,17285,17435,17234,17335,828
20080618,17335,18086,17285,18086,1307
20080619,18136,18337,18136,18337,99
20080620,19439,19439,17735,18036,1237
20080623,17635,18036,17635,17635,688
20080624,17034,17535,17034,17535,3772
20080625,17535,17535,17285,17335,528
20080626,17435,17735,17285,17335,1616
20080627,17234,17234,16934,17234,1876
20080630,17435,17535,17234,17535,99
20080701,17285,17435,17234,17234,389
20080702,17435,17535,17034,17034,2435
20080703,17034,17234,16784,17034,1656
20080704,17335,17335,16834,17034,778
20080707,16733,17034,16633,16834,469
20080708,16733,17034,16583,16633,668
20080709,16984,16984,16533,16533,728
20080710,16533,17034,16283,16884,309
20080711,16683,16934,16533,16934,678
20080714,17034,17034,16533,16533,538
20080715,16533,16884,16333,16383,439
20080716,16433,16433,16283,16383,239
20080717,16533,16733,16383,16433,648
20080718,16984,16984,16333,16333,279
20080721,17535,17535,16333,16884,618
20080722,16383,16834,16383,16733,239
20080723,16533,16984,16533,16733,508
20080724,17134,17435,16633,17034,768
20080725,17335,17335,16834,16934,119
20080728,16784,16784,16533,16533,688
20080729,16283,16633,16132,16232,2265
20080730,16383,16533,16333,16433,1107
20080731,16483,16683,16433,16683,239
20080801,16683,16834,16683,16733,199
20080804,16834,16834,16283,16433,1516
20080805,16533,16834,15982,16533,8532
20080806,16733,16984,16433,16733,558
20080807,16733,17184,16733,17084,648
20080808,17234,17535,16834,17134,588
20080811,17335,17886,17234,17685,1576
20080812,17936,17986,16934,17385,3483
20080813,17134,17234,17034,17234,349
20080814,17385,17535,17034,17335,399
20080818,17836,17936,17735,17735,169
20080819,17134,17635,17134,17635,24780
20080820,17134,17786,17134,17635,988
20080821,17335,17685,17335,17635,309
20080822,17635,17635,17285,17535,309
20080825,17836,17886,17385,17535,269
20080826,17535,17585,17234,17435,588
20080827,17435,17435,17184,17285,309
20080828,17435,17836,17084,17285,1087
20080829,17134,17485,17134,17385,1746
20080901,17385,17385,16383,16583,1896
20080902,16733,17285,16383,17234,2095
20080903,16383,17184,16383,17184,508
20080904,17184,17184,16834,16884,618
20080905,18737,18737,16583,16884,329
20080908,16884,17385,16884,17234,129
20080909,17435,17435,17234,17335,1297
20080910,17335,17435,17084,17435,109
20080911,17685,17936,17635,17635,778
20080912,17735,18337,17585,17936,1007
