날짜,시가,고가,저가,현재가,거래량
20140916,1,1,1,1,659254
20140917,1,1,1,1,6394764
20140918,1,1,1,1,18303080
20140919,1,1,1,1,0
20140922,1,1,1,1,835940
20140923,1,1,1,1,2302037
20140924,1,1,1,1,135014
20140925,1,1,1,1,1687681
20140926,1,1,1,1,1404042
20140929,1,1,1,1,0
20140930,1,1,1,1,1320067
20141001,1,1,1,1,66003
20141002,1,1,1,1,1155059
20141006,1,1,1,1,2040811
20141007,1,2,1,1,7213799
20141008,2,2,2,2,4245
20141010,2,2,2,2,8491
20141013,2,2,2,2,2449734
20141014,3,3,2,2,217130
20141015,3,3,3,3,92515
20141016,4,4,3,3,304714
20141017,4,4,4,4,25371
20141020,4,4,4,4,4332
20141021,4,4,4,4,0
20141022,4,4,4,4,0
20141023,5,5,5,5,4332
20141024,5,5,5,5,4332
20141027,4,4,4,4,0
20141028,5,5,5,5,4332
20141029,6,6,6,6,4332
20141030,4,4,4,4,8665
20141031,4,4,4,4,0
20141103,3,3,3,3,12998
20141104,2,2,2,2,2764439
20141105,2,2,2,2,0
20141106,1,1,1,1,680182
20141107,2,2,2,2,173379
20141110,2,2,2,2,551925
20141111,2,2,2,2,1667577
20141112,2,2,2,2,2186293
20141113,2,2,2,2,0
20141114,2,2,2,2,0
20141117,2,2,2,2,0
20141118,2,2,2,2,0
20141119,2,2,2,2,263929
20141120,2,2,2,2,4398
20141121,1,1,1,1,290322
20141124,1,2,1,2,1258063
20141125,2,2,2,2,4387
20141126,1,2,1,1,2272665
20141127,2,2,2,2,6952
20141128,2,2,2,2,6952
20141201,3,3,3,3,3476
20141202,2,2,2,2,0
20141203,3,3,2,2,615274
20141204,2,2,2,2,1167529
20141205,2,2,2,2,1045549
20141208,2,3,2,2,45307
20141209,2,3,2,2,91502
20141210,4,4,4,4,2374
20141211,4,4,4,4,2374
20141212,4,4,4,4,0
20141215,3,3,3,3,4748
20141216,3,3,3,3,427382
20141217,3,3,3,3,237434
20141218,3,3,3,3,0
20141219,3,3,3,3,98331
20141222,2,2,2,2,1549425
20141223,3,3,3,3,0
20141224,3,3,3,3,1559079
20141226,3,3,3,3,2405
20141229,3,3,3,3,0
20141230,3,3,3,3,0
20150102,3,3,3,3,0
20150105,3,3,3,3,0
20150106,2,2,2,2,726525
20150107,2,2,2,2,0
20150108,3,3,3,3,2405
20150109,3,3,3,3,0
20150112,3,3,3,3,0
20150113,3,3,3,3,0
20150114,2,2,2,2,192457
20150115,2,2,2,2,0
20150116,2,3,2,2,690439
20150119,3,3,3,3,223623
20150120,3,4,3,3,6450
20150121,4,4,4,4,181952
20150122,3,3,3,3,1371918
20150123,3,4,3,3,151020
20150126,4,5,4,4,158606
20150127,6,6,6,6,1093
20150128,6,8,6,6,132335
20150129,8,8,8,8,126943
20150130,6,6,6,6,101554
20150202,6,6,6,6,0
20150203,6,6,6,6,368982
20150204,6,6,6,6,8496
20150205,8,8,8,8,849
20150206,6,8,6,7,115555
20150209,8,8,8,8,832
20150210,8,10,8,9,13322
20150211,10,10,10,10,0
20150212,10,10,10,10,0
20150213,7,7,7,7,96960
20150216,6,9,6,7,399386
20150217,9,11,9,9,834585
20150223,9,9,9,9,9202
20150224,9,9,9,9,5774
20150225,9,9,9,9,0
20150226,9,9,9,9,0
20150227,9,9,9,9,57744
20150302,9,9,9,9,0
20150303,9,9,9,9,70447
20150304,9,9,9,9,32915
20150305,9,11,9,9,172733
20150306,11,11,11,11,0
20150309,11,11,11,11,317500
20150310,11,11,11,11,135298
20150311,11,11,11,11,9019
20150312,11,11,11,11,0
20150313,11,11,11,11,0
20150316,9,11,9,11,142965
20150317,11,11,11,11,0
20150318,11,11,11,11,0
20150319,11,11,11,11,0
20150320,11,14,11,12,2695
20150323,11,13,11,11,14149
20150324,14,14,12,12,83114
20150325,12,12,12,12,0
20150326,12,12,12,12,0
20150327,12,13,12,12,387043
20150330,12,12,12,12,36826
20150331,12,12,12,12,0
20150401,14,14,12,13,866
20150402,13,15,11,15,726302
20150403,12,13,11,13,121580
20150406,11,14,11,11,1639434
20150407,12,14,12,12,90858
20150408,14,16,14,15,218086
20150409,17,19,17,17,61086
20150410,17,22,17,18,3552
20150413,17,22,17,22,1583978
20150414,27,29,27,29,461836
20150415,37,37,35,37,927768
20150416,37,40,35,35,129080
20150417,42,42,37,37,166312
20150420,48,48,35,38,2858137
20150421,49,49,39,41,50090
20150422,44,45,44,44,166168
20150423,43,46,37,43,162055
20150424,54,54,46,47,33032
20150427,43,54,43,46,831097
20150428,43,43,43,43,0
20150429,41,47,41,45,1476
20150430,47,47,47,47,0
20150504,40,40,40,40,38970
20150506,50,50,38,40,208212
20150507,48,60,48,48,36289
20150508,55,77,49,67,207597
20150511,74,74,74,74,0
20150512,74,74,74,74,0
20150513,61,61,61,61,3302
20150514,64,64,61,61,333527
20150515,54,78,54,65,127703
20150518,77,77,77,77,0
20150519,67,67,64,64,163653
20150520,61,83,61,78,78655
20150521,79,79,79,79,0
20150522,79,79,79,79,2781
20150526,81,81,79,81,30592
20150527,79,79,79,79,0
20150528,84,84,84,84,142
20150529,59,109,59,80,58712
20150601,84,84,84,84,1908
20150602,70,95,70,90,13494
20150603,95,95,95,95,3867
20150604,95,95,85,92,1804
20150605,72,87,72,86,3765
20150608,71,71,71,71,28567
20150609,86,86,71,74,26047
20150610,111,111,83,87,63703
20150611,100,100,95,96,11148
20150612,95,95,95,95,215938
20150615,95,121,95,99,22196
20150616,91,91,91,91,94768
20150617,108,108,108,108,110
20150618,104,104,104,104,110
20150619,95,95,91,92,8836
20150622,107,107,102,104,225
20150623,108,108,108,108,2877
20150624,100,109,96,103,59280
20150625,105,105,105,105,342
20150626,88,92,88,90,228
20150629,108,108,90,98,5460
20150630,82,83,82,83,15618
20150701,83,91,83,87,57183
20150702,91,91,91,91,0
20150703,89,89,86,89,9509444
20150706,86,86,86,86,10958
20150707,82,88,82,83,16316
20150708,88,88,88,88,16927
20150709,88,88,87,88,33168
20150710,88,88,88,88,5146
20150713,88,88,88,88,1829
20150714,89,92,89,92,33397
20150715,91,95,91,92,25734
20150716,96,96,96,96,2213
20150717,98,98,94,95,107026
20150720,94,94,94,94,26818
20150721,94,94,94,94,28605
20150722,94,94,94,94,19648
20150723,106,106,93,100,68141
20150724,91,91,91,91,56996
20150727,95,95,95,95,54458
20150728,95,95,91,95,59304
20150729,91,91,89,91,36744
20150730,89,89,89,89,0
20150731,85,88,85,85,2820360
20150803,88,88,88,88,4787
20150804,88,88,88,88,0
20150805,89,89,89,89,21543
20150806,88,88,88,88,11968
20150807,88,88,88,88,0
20150810,88,88,88,88,51583
20150811,88,89,88,89,7779
20150812,100,100,100,100,54336
20150813,117,125,93,104,37700
20150817,131,131,131,131,37350
20150818,141,160,141,151,72019
20150819,176,176,175,176,104023
20150820,171,171,149,166,30363
20150821,219,219,153,169,37462
20150824,198,198,198,198,90
20150825,193,198,165,166,123730
20150826,171,171,171,171,88891
20150827,171,176,171,173,29144
20150828,176,176,176,176,0
20150831,167,167,162,167,27435
20150901,158,158,156,157,46375
20150902,170,170,170,170,93
20150903,203,203,161,162,4762
20150904,149,154,149,154,23691
20150907,155,171,155,170,30451
20150908,171,171,171,171,0
